scenario_id,bucket,dip_model,pullback_pct,reclaim_pct,target_model,target_pct,k,shtf_pct,time_stop_days,notes
ETF_fixed_010_shtf_080,ETF,rally_peak,0.006,0.003,fixed,0.010,,0.080,,Baseline older ETF: 1% target + 8% SHTF
ETF_fixed_005_shtf_080,ETF,rally_peak,0.006,0.003,fixed,0.005,,0.080,,Newer ETF: 0.5% target + 8% SHTF
ETF_dip_k10_shtf_080,ETF,rally_peak,0.006,0.003,dip_scaled,,1.0,0.080,,Target = 1.0×dip
ETF_dip_k10_shtf_080_t15,ETF,rally_peak,0.006,0.003,dip_scaled,,1.0,0.080,15,Adds time stop experiment
MAG_fixed_020_shtf_100,MAG7,rally_peak,0.012,0.006,fixed,0.020,,0.100,,Baseline older Mag7: 2% target + 10% SHTF
MAG_fixed_010_shtf_100,MAG7,rally_peak,0.012,0.006,fixed,0.010,,0.100,,Newer Mag7: 1% target + 10% SHTF
MAG_dip_k10_shtf_100,MAG7,rally_peak,0.012,0.006,dip_scaled,,1.0,0.100,,Target = 1.0×dip
